valorPagoEmpenho,log_target,te_uniEle_mean,te_orgProgEle_mean,te_progEle_mean,te_uniEle_median,te_orgProgEle_median,te_progEle_median,te_orgEle_mean,te_funEle_mean,te_subEle_mean,te_orgEle_median,te_funEle_median,te_subEle_median,te_descricaoElemento_mean,te_descricaoElemento_median,te_despesaDot_mean,target_box_cox,target_yeo_johnson,target_log,target_raiz_quadrada,target_inversa,target_z_score
26787.52,10.195728716518406,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,14.060529903096176,19.216769878808428,2.321968879306076,3.193075119147435,0.098080287128459,0.2514270980188695
37.77,3.657646751682838,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,3.2795804878135333,5.272789808801995,1.2968199766021824,1.9124975167782148,0.2733998299698877,-2.58694172104441
4882.73,8.493664551147177,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,11.002094290054721,15.185196891335135,2.1393205386632896,2.9143892243739815,0.11773481210356222,-0.48748775208826967
925.63,6.831554348888401,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,8.167298614256152,11.498266772043854,1.9215522243950607,2.613724229693791,0.14637957175334707,-1.2090574413812238
102.24,4.637056374850413,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,4.701412305751447,7.06551426058369,1.5340797629481904,2.1533825426176403,0.2156540527356127,-2.1617519252540056
27848.66,10.23457603702238,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,14.132004044035336,19.31159587964561,2.325771795394763,3.199152393529008,0.09770800435529689,0.268291833550739
4404.05,8.390506889043658,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,10.821557143825645,14.948890233555476,2.1271009345115592,2.8966371690364774,0.11918231082150735,-0.5322714506005987
29105.89,10.278730194893498,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,14.213328551178579,19.419522893379288,2.3300767305000414,3.206045881595193,0.09728828182461709,0.28746041932366606
538.99,6.291550620868332,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,7.282743569884979,10.35869861305796,1.839207561931581,2.5082963582615854,0.15894332895981444,-1.4434885409045597
4570.3,8.427552907331036,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198976,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669,10.886325077959139,15.033643051640553,2.131506446045386,2.9030247858623315,0.11865840665682573,-0.5161887120018965
