valorPagoEmpenho,log_target,te_uniEle_mean,te_orgProgEle_mean,te_progEle_mean,te_uniEle_median,te_orgProgEle_median,te_progEle_median,te_orgEle_mean,te_funEle_mean,te_subEle_mean,te_orgEle_median,te_funEle_median,te_subEle_median,te_descricaoElemento_mean,te_descricaoElemento_median,te_despesaDot_mean
26787.52,10.195728716518406,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
37.77,3.657646751682838,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
4882.73,8.493664551147177,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
925.63,6.831554348888401,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
102.24,4.637056374850413,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
27848.66,10.23457603702238,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
4404.05,8.390506889043658,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
29105.89,10.278730194893498,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
538.99,6.291550620868332,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
4570.3,8.427552907331036,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
30936.71,10.339731107166797,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
4395.78,8.388627733814893,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
324.67,5.785884598736826,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
4976.62,8.512707144135943,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
25564.94,10.14901627585828,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
1238.0,7.122059881629142,7.892788800172211,7.853918517059486,7.853918517059486,7.761225479794969,7.874187642334622,7.874187642334622,7.892788800172211,7.892788800172211,9.496275417198975,7.761225479794969,7.761225479794969,9.864911006935486,9.685055349002734,9.91854905648723,8.56825255379669
