valorPagoEmpenho,log_target,log_valorEmpenhado,log_saldoAPagar,n_pagamentos,ano_empenho,mes_empenho,trimestre,trim_2,trim_3,trim_4,elemento_cat,tipo_empenho,log_target_bc,lambda_boxcox
26787.52,10.195728716518406,10.195728716518406,0.0,2,2012,1,1,0,0,0,Aplicacoes Diretas,Ordinário,14.06053034603991,1.2623624440533094
37.77,3.657646751682838,6.159412462954242,6.0762192129727906,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,3.2795805386987475,1.2623624440533094
4882.73,8.493664551147177,8.493664551147177,0.0,1,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,11.002094603373724,1.2623624440533094
925.63,6.831554348888401,6.831554348888401,0.0,1,2012,9,3,0,1,0,Aplicacoes Diretas,Ordinário,8.167298818116128,1.2623624440533094
102.24,4.637056374850413,4.637056374850413,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,4.7014123949746365,1.2623624440533094
27848.66,10.23457603702238,10.23457603702238,0.0,2,2012,10,4,0,0,1,Aplicacoes Diretas,Ordinário,14.132004490129987,1.2623624440533094
4404.05,8.390506889043658,8.390506889043658,0.0,1,2012,1,1,0,0,0,Aplicacoes Diretas,Ordinário,10.821557449838645,1.2623624440533094
29105.89,10.278730194893498,10.278730194893498,0.0,2,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,14.213329000864663,1.2623624440533094
538.99,6.291550620868332,6.291550620868332,0.0,1,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,7.2827437421795675,1.2623624440533094
4570.3,8.427552907331036,8.427552907331036,0.0,1,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,10.88632538658836,1.2623624440533094
30936.71,10.339731107166797,10.339731107166797,0.0,2,2012,9,3,0,1,0,Aplicacoes Diretas,Ordinário,14.325833197894084,1.2623624440533094
4395.78,8.388627733814893,8.388627733814893,0.0,1,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,10.818274099493665,1.2623624440533094
324.67,5.785884598736826,5.785884598736826,0.0,1,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,6.472287127180638,1.2623624440533094
4976.62,8.512707144135943,8.512707144135943,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,11.035484370234222,1.2623624440533094
25564.94,10.14901627585828,10.14901627585828,0.0,2,2012,11,4,0,0,1,Aplicacoes Diretas,Ordinário,13.974679960405556,1.2623624440533094
1238.0,7.122059881629142,7.122059881629142,0.0,2,2012,12,4,0,0,1,Aplicacoes Diretas,Ordinário,8.650905367383611,1.2623624440533094
18.8,2.9856819377004897,2.9856819377004897,0.0,1,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,2.3591585007508558,1.2623624440533094
13851.13,9.536194290404639,9.536194290404639,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,12.858136728680067,1.2623624440533094
441.36,6.0921240302071595,6.0921240302071595,0.0,2,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,6.960990345107447,1.2623624440533094
29183.21,10.281383088571854,10.281383088571854,0.0,2,2012,8,3,0,1,0,Aplicacoes Diretas,Ordinário,14.218218106933419,1.2623624440533094
26912.86,10.200396674534224,10.200396674534224,0.0,2,2012,3,1,0,0,0,Aplicacoes Diretas,Ordinário,14.06911502588489,1.2623624440533094
743.16,6.612256065475787,6.612256065475787,0.0,1,2012,11,4,0,0,1,Aplicacoes Diretas,Ordinário,7.805777069618951,1.2623624440533094
30463.33,10.324311769990404,10.324311769990404,0.0,2,2012,4,2,1,0,0,Aplicacoes Diretas,Ordinário,14.297378771762709,1.2623624440533094
4899.53,8.4970986415148,8.4970986415148,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,11.008114574567884,1.2623624440533094
806.31,6.69370773329316,6.69370773329316,0.0,1,2012,10,4,0,0,1,Aplicacoes Diretas,Ordinário,7.939691702622021,1.2623624440533094
28745.5,10.266271299684252,10.266271299684252,0.0,2,2012,2,1,0,0,0,Aplicacoes Diretas,Ordinário,14.1903725173461,1.2623624440533094
29964.77,10.30781100920822,10.30781100920822,0.0,2,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,14.266941063660727,1.2623624440533094
1053.03,6.960376191694347,6.960376191694347,0.0,1,2012,6,2,1,0,0,Aplicacoes Diretas,Ordinário,8.381097063328546,1.2623624440533094
1052.99,6.960338241390265,6.960338241390265,0.0,1,2012,7,3,0,1,0,Aplicacoes Diretas,Ordinário,8.381033925429346,1.2623624440533094
